No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1407,0.7646,11.2321,6.86507,4023.01,0.62839,-3.89666,-6.211583333,0.253602502,0.20324111,1510.628113,3300.430791,0.466382631,0.549401414,4.71202294
1408,0.776,14.10999,7.45371,3968.58,0.571355,-3.57349,-5.487776667,0.236057405,0.183040114,167.8823488,662.7303115,0.368810276,0.348935543,3.784444911
1409,0.485,5.06109,3.33924,381.061,1.18486,-5.46292,-8.367803333,0.272351494,0.24819128,11407.16101,23261.99047,0.318794934,0.806582939,10.12039845
1412,0.5356,5.06354,3.99781,920.369,1.1826,-4.643836667,-6.873233333,0.245831334,0.208538,14478.3313,28424.51421,0.379004718,0.663638404,7.004012061
1413,0.414,4.82351,3.61774,356.574,1.61026,-4.95046,-7.758306667,0.230137008,0.205097298,13315.44481,26327.09356,0.194841929,0.407288836,8.361420729
1414,0.6368,4.2795,3.43566,1022.41,1.23366,-1.9982,-2.89298,0.113624905,0.061546321,601.2839571,1525.309731,0.036718489,0.012803307,1.394753145
1415,0.4136,4.74887,3.57779,353.745,1.57979,-5.51541,-8.301436667,0.252747596,0.228935104,13670.71616,27300.22967,0.229455928,0.583353536,10.16933476
1416,0.7082,11.94849,11.06743,1229.56,1.25945,-2.45201,-3.986916667,0.1693913,0.127579363,13009.36519,25454.66508,0.106069618,0.081193892,3.061909472
1417,0.5302,6.15719,5.72416,905.841,1.57342,-3.924846667,-5.94214,0.230249013,0.196422105,1862.565886,4042.498869,0.270969026,0.462778685,6.831462501
1418,0.6858,11.9695,11.05044,1190.11,1.28902,-2.418016667,-3.60913,0.165541391,0.122884617,9961.811442,19713.40294,0.101914561,0.073396566,2.880709696
1419,0.4422,4.56254,3.66151,403.389,1.81428,-6.19459,-9.049823333,0.301332033,0.268535625,3468.442437,7597.981028,0.39711688,1.527191445,15.38279053
1420,0.4336,4.54188,3.69666,404.094,1.82271,-6.09796,-9.110216667,0.303757695,0.269678336,3708.277405,8052.814266,0.402923691,1.520865201,15.09829514
1421,0.7296,12.47272,11.70082,1345.33,1.16803,-2.271056667,-3.684426667,0.168266653,0.124910395,13503.54043,26365.93001,0.104675408,0.07654221,2.924935721
