No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
3,0.344239,4.71075,3.90547,353.311,1.7876,-3.88363,-5.995233333,0.198291175,0.171473177,6965.889242,14136.77201,0.15617022,0.239068324,6.12327559
4,0.352292,4.69102,3.85229,334.94,1.81243,-4.336376667,-6.60172,0.211520868,0.185020696,8326.940451,16750.9346,0.182686883,0.31664513,6.933067658
5,0.349377,4.67302,3.82009,315.161,1.84813,-4.243943333,-6.649386667,0.211033237,0.185180792,7631.896682,15458.56071,0.180839497,0.321597291,7.113430337
6,0.335638,4.69761,3.74654,298.954,1.90641,-4.03345,-6.30832,0.19744458,0.172635442,9090.848674,18183.47666,0.149465549,0.242102845,6.479161161
7,0.331323,4.67061,3.68144,259.015,1.96962,-4.08583,-6.28344,0.195928214,0.171473177,8984.504942,18014.07948,0.144541947,0.233647887,6.465884592
8,0.199677,4.37853,3.59861,267.701,1.34661,-4.775566667,-6.97636,0.237045656,0.198337804,26338.29398,51795.86456,0.2741811,0.411431147,6.002326885
9,0.54365,4.67382,3.90881,938.32,1.15833,-4.22406,-6.442363333,0.25812806,0.214476109,3915.611904,8409.319898,0.500938829,0.802360317,6.406852658
12,0.50689,6.27961,3.51034,908.897,1.13147,-5.126716667,-7.82706,0.298200849,0.261936564,6326.809592,13169.61662,0.611622548,1.764278618,11.53834909
14,0.521129,7.70318,4.91038,1218.5,1.08434,-4.57625,-6.419833333,0.255949404,0.213565643,11102.17229,22184.66356,0.466381738,0.758523369,6.505600946
15,0.368621,6.47621,4.29249,428.176,2.30944,-3.76685,-5.698716667,0.191807483,0.169278531,7627.163046,15059.33119,0.13678283,0.228437966,6.680311147
16,0.300406,4.80977,4.22364,381.963,1.71994,-5.207103333,-7.922893333,0.265232817,0.244225828,11242.01357,22605.72185,0.266499806,0.860494722,12.91550242
21,0.481654,5.75165,4.10445,783.511,1.26343,-5.631966667,-8.02835,0.292291468,0.252043412,14192.67395,27835.49933,0.592673291,1.360560552,9.182533262
23,0.431364,4.2535,3.26413,375.121,1.23763,-7.101813333,-10.29917667,0.36187624,0.319124181,14078.27158,27973.21201,0.833265804,3.673156188,17.63257856
24,0.30797,5.52187,3.72148,196.314,1.63796,-4.484963333,-6.902786667,0.217611328,0.193399418,5284.954608,11163.59898,0.194678139,0.363522495,7.469200124
25,0.285146,5.64563,3.81414,189.253,1.71617,-4.67419,-7.112126667,0.21585962,0.196653003,5649.973203,11913.45704,0.167867972,0.356177452,8.487085363
26,0.466505,7.40266,5.04333,1129.06,1.01683,-4.73525,-7.007696667,0.259278173,0.222966462,11440.16857,22991.0491,0.431188259,0.810597593,7.519662941
27,0.404918,6.45274,4.22462,946.794,1.12223,-4.547003333,-7.202083333,0.250017241,0.221976369,10558.16002,21097.66134,0.327550402,0.680393604,8.308872159
29,0.634801,8.76561,6.5175,1411.51,1.05969,-5.43811,-8.400816667,0.27283757,0.236141321,9144.845612,18060.71762,0.531538429,1.08745595,8.183460617
30,0.621985,8.24108,6.31049,1401.53,1.04077,-5.507336667,-8.20649,0.271860722,0.232289923,9020.581518,17856.77144,0.54584657,1.051303261,7.704020278
31,0.633915,8.71169,6.44453,1342.49,1.0948,-5.710356667,-8.355203333,0.274268495,0.237883471,7233.128936,14465.67788,0.53717646,1.116082438,8.310732291
32,0.63717,8.74251,6.51591,1443.18,1.04816,-5.659556667,-8.46854,0.276115771,0.23915385,7472.882986,14926.6067,0.563289097,1.161572019,8.248496377
33,0.563965,8.04098,5.29484,1393.54,0.979448,-3.66132,-5.563976667,0.235857427,0.190090626,13262.16473,26148.5565,0.364870623,0.466512279,5.114276125
34,0.643957,5.3901,4.50129,1322.86,1.38641,-3.7554,-5.673693333,0.238966282,0.196537744,710.2151776,1928.276874,0.367562351,0.526810439,5.733018494
35,0.448926,6.49619,6.07699,635.609,1.77195,-3.66392,-5.513936667,0.202710874,0.171942727,7775.270466,15465.65777,0.176460048,0.25335859,5.743137733
36,0.733694,6.88488,5.07148,2778.92,0.887006,-3.366173333,-4.855916667,0.229459738,0.178320508,-512.4331848,-489.1718592,0.335317374,0.33867164,4.04001303
43,0.313672,7.12611,5.03994,351.459,1.98392,-5.119973333,-7.66335,0.243558458,0.222639535,9401.873955,19245.01188,0.200774405,0.488805568,9.738404016
45,0.823926,11.50079,5.75746,3528.79,0.64997,-3.904273333,-5.997306667,0.243472293,0.192890595,153.0825202,671.2781548,0.417109275,0.444077951,4.258624563
46,0.618085,7.79386,4.84092,1877.78,0.979833,-3.471643333,-5.2125,0.231026212,0.184209037,4771.1751,9745.566617,0.347143918,0.405621742,4.673816489
47,0.372301,5.95317,5.66011,805.585,1.33865,-2.847146667,-3.79567,0.152374461,0.115991137,10765.54071,21320.0966,0.077428785,0.060810625,3.141499637
48,0.484897,6.01448,4.33197,781.953,1.4324,-4.522546667,-6.728896667,0.255406868,0.220319819,6189.118038,12762.31682,0.383749455,0.76393474,7.96284899
49,0.497765,6.08549,4.42105,817.978,1.41539,-4.509246667,-6.695246667,0.25714933,0.221014828,5309.560107,11083.43924,0.401905756,0.785461812,7.817373106
52,0.827577,8.96828,6.55754,5203.69,0.566919,-2.495513333,-3.779266667,0.228426594,0.166394573,-99.22952511,103.7095827,0.348739886,0.257251546,2.950640937
