No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
317,0.62206,11.19018,10.72475,1657.84998,0.76907,-3.268066667,-4.922303333,0.224697987,0.17652622,7650.566205,15017.91082,0.313391727,0.328634798,4.194556137
319,0.64433,17.10283,16.8072,1328.17004,0.81866,-2.813666667,-4.06222,0.192752524,0.144930776,10802.52379,21057.6121,0.16890639,0.136871629,3.241360601
320,0.75135,9.32195,8.6641,3931.17993,0.48961,-5.295463333,-8.003096667,0.281285772,0.236104087,2170.442575,4581.315863,0.581092306,0.770613348,5.304584761
321,0.51103,5.34025,4.11429,958.10199,1.0494,-5.777803333,-8.714753333,0.327991888,0.284754,1522.514386,3946.735342,0.89171579,2.108616553,9.458693348
322,0.54305,5.26587,4.18905,1124.96997,0.97832,-5.49227,-7.960036667,0.319861564,0.27186141,6846.251411,13996.13243,1.005595464,2.551369973,10.14869324
323,0.49674,6.14398,5.43904,940.74701,1.05108,-5.148083333,-7.78324,0.300215625,0.263740232,4104.583726,8527.864928,0.73660517,2.170287847,11.78535225
324,0.71314,6.68673,5.5655,4240.5,0.58855,-3.252973333,-4.673866667,0.257998647,0.196882387,2710.150395,5679.325443,0.599895596,0.588812222,3.926097977
325,0.66965,16.15913,15.82205,1673.93005,0.6855,-2.459416667,-3.78086,0.19744458,0.146702342,14803.99811,28651.33804,0.185061202,0.142892283,3.088541113
326,0.69747,18.68522,18.38514,1915.88,0.58112,-2.486533333,-3.887233333,0.205699647,0.152442547,13557.19759,26343.87331,0.21988341,0.167801786,3.052559279
327,0.77067,24.8265,24.58813,2116.58008,0.45428,-2.510716667,-3.98984,0.209204105,0.153247668,14896.86888,28702.07691,0.233155737,0.170877076,2.931552587
328,0.71219,13.36641,13.06993,2048.83008,0.71373,-3.312073333,-5.18134,0.208177919,0.166120211,7829.309094,15694.41829,0.231333405,0.249543029,4.314863727
329,0.79697,30.66931,30.47904,2327.32007,0.39872,-1.993503333,-3.197903333,0.206598688,0.145926034,19097.57799,36823.75206,0.223738871,0.140972311,2.520300752
330,0.79326,31.45428,31.27516,2336.56006,0.38717,-2.113866667,-3.371626667,0.208693604,0.148159113,17006.18967,32865.68307,0.232151333,0.14819077,2.553347731
331,0.53672,7.84595,7.29195,1135.95996,1.03012,-3.90001,-6.020683333,0.233183415,0.193272905,10496.04064,20713.61292,0.347853881,0.521635411,5.998327905
332,0.66572,18.27716,17.58343,1773.67004,0.68766,-2.55948,-4.356986667,0.182689433,0.138095722,9404.473881,18906.27848,0.136466194,0.109310996,3.20404615
333,0.75436,22.77277,22.5277,1915.95996,0.55019,-2.13816,-3.516813333,0.191807483,0.138034298,10406.84021,20115.43372,0.165586458,0.113252836,2.735799458
334,0.7546,22.68169,22.43977,1881.15002,0.55019,-2.104516667,-3.350696667,0.187582523,0.132948008,7994.698939,15623.78845,0.153789945,0.098030918,2.549735428
335,0.74688,12.69956,12.42896,2449.11011,0.58433,-2.60965,-4.286146667,0.198080845,0.145630419,5737.81461,11674.17091,0.190096923,0.142580533,3.00016499
336,0.82525,18.54642,17.48603,4399.62988,0.3503,-5.331553333,-8.48609,0.297610208,0.25538647,1842.040542,4153.551423,0.621863018,0.895338404,5.759071553
337,0.8274,18.54395,17.47742,4369.33984,0.33851,-4.98165,-7.58135,0.283293721,0.23702324,1604.37264,3567.724708,0.606500286,0.812698755,5.359923311
338,0.69899,18.45428,18.13247,1721.52002,0.63868,-2.883403333,-4.511246667,0.21732354,0.165843681,7211.654067,14149.57416,0.269286728,0.243408334,3.6156009
339,0.64973,10.38774,9.98996,1940.79004,0.68855,-3.289986667,-5.2471,0.226295043,0.178320508,7771.35618,15255.22822,0.317175985,0.334039628,4.212672377
340,0.60444,8.96817,8.64917,1737.18994,0.77044,-3.573113333,-5.497566667,0.230249013,0.183712845,8054.709309,16053.08397,0.330024189,0.380169565,4.607778196
341,0.63382,9.86201,9.37472,1816.55005,0.7065,-3.04953,-4.73784,0.217034112,0.16851528,14600.61782,28461.77438,0.27152824,0.26531851,3.908521776
342,0.8526,41.12154,41.06296,3056.12988,0.28367,-1.844936667,-3.14164,0.208177919,0.142743755,7766.954711,15167.67935,0.230558787,0.128179266,2.223801874
343,0.63545,12.27783,11.8173,1800.68994,0.69832,-3.051166667,-4.607033333,0.212640792,0.163251314,15145.71515,29294.90835,0.253044532,0.231310896,3.656445673
344,0.89247,28.96424,28.43647,5069.41016,0.23599,-2.270693333,-3.169163333,0.238682777,0.160451344,2146.333281,4461.642511,0.421990756,0.214144563,2.029850746
345,0.89029,14.34726,13.03327,7485.87988,0.23599,-2.565453333,-4.221476667,0.245418032,0.172635442,212.485846,536.5027112,0.483027497,0.299011835,2.476147525
346,0.90719,34.43726,33.82956,7853.47021,0.16909,-2.250316667,-3.422036667,0.245666416,0.166394573,-101.6755353,172.1933802,0.489490499,0.258715304,2.114159967
347,0.63897,16.84207,16.54655,1391.05005,0.79025,-2.93569,-4.277006667,0.198916987,0.151029823,11415.65077,22234.64794,0.192257689,0.160748183,3.344431822
348,0.67757,13.74617,13.41753,1872.09998,0.6305,-2.945153333,-4.36893,0.215710881,0.163251314,17365.89671,33328.77676,0.265305641,0.230013578,3.467903303
349,0.75175,21.50274,21.38827,2279.72998,0.47781,-2.535803333,-3.932513333,0.216888777,0.159131152,9101.955689,17639.9914,0.27489337,0.203549806,2.96187291
350,0.78612,27.83857,27.70128,2364.04004,0.40212,-2.569036667,-4.00993,0.220808754,0.162034462,3282.431729,6698.588915,0.290917132,0.213441382,2.934737874
351,0.72331,17.88578,17.50373,1941.65002,0.58494,-2.97167,-4.7495,0.214352254,0.163844225,5458.728904,10763.94383,0.252141069,0.223927839,3.552421516
352,0.73861,25.57281,25.18439,2023.07996,0.51625,-2.894406667,-4.597026667,0.203663894,0.154575229,11191.41724,22007.31311,0.204716775,0.173129862,3.382817296
353,0.85428,23.73233,21.04661,5283.08008,0.30996,-4.249423333,-6.355386667,0.271365162,0.211218032,13696.48636,26472.2151,0.661382549,0.6924971,4.188178847
