No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
805,0.707797824,0.268044857,0.277947634,0.159923624,0.135721866,0.931615746,0.924621178,0.175661586,0.123261773,0.257634776,0.249128553,0.123491315,0.072859516,2.359988327
806,0.719631979,0.282257962,0.293053035,0.155898316,0.132890183,0.938116387,0.937885517,0.176312806,0.121825965,0.297083093,0.287337521,0.124029392,0.070537371,2.274859859
807,0.661835496,0.140904224,0.149994519,0.186133896,0.151664766,0.894900476,0.891938454,0.206776603,0.155370715,0.267255581,0.255264735,0.225199798,0.185223283,3.289936934
808,0.700293771,0.160943427,0.169087274,0.219947841,0.129888549,0.896321274,0.890713489,0.209541612,0.155928044,0.27668725,0.261443894,0.233506304,0.182904043,3.133175248
809,0.704514801,0.161789913,0.169814258,0.221239416,0.130078494,0.892629251,0.88931923,0.21070553,0.156765733,0.291338243,0.276214407,0.243712548,0.18909706,3.103608108
810,0.582933862,0.079148959,0.084692692,0.134050018,0.218595455,0.886131292,0.881329678,0.195040951,0.153287442,0.137246072,0.124792748,0.17220364,0.165514003,3.844611024
811,0.578527412,0.074346501,0.079649375,0.13328316,0.221272182,0.881580006,0.872219759,0.202130359,0.162034462,0.40393854,0.391710192,0.192963813,0.206836137,4.287563238
812,0.743627499,0.068815179,0.074202705,0.340323135,0.120731191,0.908364998,0.909756621,0.206953896,0.147835427,0.075519769,0.065515666,0.224400752,0.14744547,2.628252693
813,0.887611527,0.30946988,0.222335041,0.363212949,0.054302857,0.770354991,0.754823293,0.270155712,0.245658923,0.091968657,0.080231014,0.404631411,0.512434701,5.065693728
814,0.415750529,0.062748054,0.071056815,0.063353759,0.256519513,0.842869309,0.839007259,0.216303243,0.182180588,0.432185313,0.422883439,0.247316025,0.371092849,6.001921629
815,0.767121295,0.276521165,0.287095823,0.202600336,0.106010438,0.90725108,0.902742189,0.214199028,0.158451889,0.111227152,0.098235835,0.260344712,0.197367397,3.032401092
816,0.775007095,0.260887328,0.270649111,0.220228412,0.101444256,0.91374825,0.907492593,0.215111529,0.158451889,0.118875286,0.106480561,0.263223372,0.19987511,3.037345938
817,0.804030767,0.293984636,0.305290238,0.272081927,0.076858849,0.940893293,0.937084438,0.20054908,0.136526807,0.269458139,0.253859382,0.198666413,0.106358667,2.141452391
818,0.819126131,0.320416952,0.33055288,0.262577314,0.074169625,0.948489708,0.946331303,0.195707847,0.129199141,0.226040533,0.211735171,0.180885966,0.088133873,1.948937771
819,0.820064138,0.318475241,0.328343976,0.294328909,0.068586236,0.959594333,0.952461086,0.19548652,0.127413183,0.19669215,0.18395841,0.181777636,0.082281275,1.81059181
820,0.637327344,0.092065219,0.093692251,0.209591712,0.156725806,0.909284532,0.917120858,0.233183415,0.161723519,0.033133465,0.016497666,0.383694847,0.223682456,2.331878654
821,0.899620195,0.221714941,0.225691662,0.247707594,0.075831646,0.908658308,0.916649958,0.228194124,0.158451889,0.033133465,0.016497666,0.346994178,0.203916049,2.35065672
822,0.887982367,0.219077386,0.225806506,0.254984469,0.072302664,0.901063471,0.909066069,0.239992468,0.170270965,0.033133465,0.016497666,0.43571803,0.285001722,2.616386765
823,0.894286645,0.219063527,0.225827774,0.29737668,0.061470789,0.899292563,0.906165728,0.24672893,0.174634897,0.033133465,0.016497666,0.50141929,0.324173585,2.586047973
824,0.899216634,0.22162552,0.225761905,0.290011242,0.063912585,0.908261337,0.916119104,0.236455016,0.164427255,0.033133465,0.016497666,0.410616408,0.23912077,2.329383486
825,0.731738809,0.228691219,0.240383744,0.206349028,0.116030047,0.902936936,0.89345025,0.209709527,0.154344585,0.156750124,0.144365948,0.236789044,0.177593801,3.000034082
826,0.714756525,0.206740553,0.218134647,0.202915346,0.120016397,0.907452879,0.903794839,0.208864342,0.153247668,0.158086104,0.146084976,0.234048778,0.172114704,2.941518518
827,0.697447029,0.14288233,0.150706677,0.230930074,0.128976312,0.885470199,0.884189043,0.21070553,0.157194953,0.37945589,0.363355897,0.241949828,0.190545997,3.150173715
828,0.786699458,0.28700402,0.297745255,0.256117541,0.090549899,0.89322739,0.88923868,0.212956287,0.155445541,0.335883061,0.320416645,0.25461662,0.180171358,2.830472854
829,0.734062012,0.135991497,0.139573561,0.281951756,0.117852022,0.873988325,0.872414826,0.225194758,0.169778267,0.310489167,0.297902824,0.31395922,0.266627028,3.396963824
830,0.666623693,0.091775144,0.100267922,0.241642576,0.144166929,0.819810578,0.824303479,0.241717559,0.192243979,0.21643692,0.208537918,0.410803043,0.490649763,4.777469608
831,0.757130432,0.247942385,0.25905443,0.205767242,0.114258059,0.898797769,0.884866979,0.210375694,0.15555748,0.176815198,0.164564242,0.237498451,0.18047665,3.039626566
832,0.891930721,0.144658215,0.132284517,0.790419208,0.045862792,0.934208997,0.939453817,0.236455016,0.155520207,0.062478407,0.048352403,0.408002302,0.186809155,1.83145197
833,0.910090967,0.365754441,0.300688071,0.760197411,0.038077539,0.93868376,0.933577006,0.245251765,0.166394573,0.073919233,0.06088422,0.483213821,0.253880325,2.101598211
834,0.663504275,0.153143922,0.161986721,0.162373856,0.152869418,0.919638288,0.913762557,0.191568449,0.13936132,0.115804727,0.105081079,0.16762509,0.116297717,2.775186376
835,0.633869808,0.058628184,0.065400509,0.24375613,0.165933149,0.852204446,0.854429736,0.238587923,0.182180588,0.10822571,0.098514752,0.384991128,0.360289042,3.743349029
836,0.384370932,0.010480204,0.013179658,0.033604286,0.275808947,0.722410451,0.747448273,0.304541173,0.250215543,0.376333586,0.371358214,0.624871041,1.243830937,7.962160866
