No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1620,0.43224853949084563,0.011280894353768181,0.018205717338513366,0.04822425235039199,0.38586219411044426,0.7396193780772415,0.7413191363494936,0.30947655712305644,0.2796447905028459,0.1088238088508113,0.10013524301011437,0.45677096,1.75225381,15.34470414
1621,0.15167873750406016,0.004506476689401517,0.011981871817924837,0.020898038045226202,0.430624279129864,0.8008570919545808,0.7953123624138849,0.22304908183010408,0.20491604930865692,0.18366745951856883,0.1762100951796472,0.180140609,0.452505826,10.04783604
1622,0.3093413033363153,0.028434043337810397,0.00998588566538259,0.06381929034869072,0.28606098925307577,0.7596583818960713,0.7659695000636958,0.2629927867208103,0.22280338059094595,0.3477347579385508,0.33933110705398617,0.430350467,0.814188044,7.567674316
1624,0.5156504236627242,0.008121395520638813,0.009155845150169276,0.09161162911523049,0.2837741490636414,0.8180426674063236,0.8203913559057644,0.25921495656210114,0.21509283117017708,0.10690074112069109,0.09911521619648739,0.503589939,0.815417579,6.476837727
1625,0.528767247598212,0.06212487956195803,0.06856790910242115,0.12319970747662945,0.25060371956181343,0.8257761921075034,0.822159251554826,0.23535400848895582,0.1931459318265727,0.17918209401250526,0.17015842317882993,0.351226017,0.487353059,5.550307043
1626,0.6491047816745776,0.10895926467566538,0.11796735109158225,0.07877130300766637,0.38750172106592945,0.866998568976327,0.8634952290109054,0.18835409990785434,0.1503879527004478,0.1199259930440838,0.10604276386924477,0.152268501,0.156130132,4.101442675
1629,0.36116726426419155,0.009853172544404654,0.006508951677058575,0.04393630107509565,0.36286632899242743,0.7691063303837352,0.7656422317824094,0.2774584352719458,0.24923251678104924,0.2683041616433215,0.25933892423017196,0.469904235,1.647432529,14.02355975
1632,0.27993370255894773,0.006149676391492477,0.0046114037115328466,0.03279144732196534,0.28053508361499996,0.8058793469135155,0.8085709867199817,0.24398710642094368,0.20371447196818843,0.5151693880751276,0.5084360293591594,0.310570474,0.481182625,6.197403363
1637,0.30134534156423304,0.024189803725911632,0.0036586192841137483,0.03026344813124009,0.5865742836548085,0.8381785473844835,0.8374612807237779,0.17727424511930534,0.15364338414762246,0.21409634936211944,0.20480950960300706,0.113280237,0.155224057,5.481063992
1640,0.22639206193287403,0.008859539867929409,0.00756491390790609,0.03106004351485959,0.3419223718476626,0.8147736497554544,0.8033592799382047,0.23422860603705065,0.20966651582482798,0.16681248395026857,0.1574386371036959,0.28967571,0.700736444,9.676150534
