0,1,2,3,charge,epsilon,sigema
O,14.5374,5.17893,10.8831,-0.580759,30.1931404,3.118145513
O,12.3389,5.23657,10.377,-0.604852,30.1931404,3.118145513
O,5.85026,7.71282,3.73976,-0.604807,30.1931404,3.118145513
O,13.5326,7.89602,4.4054,-0.598231,30.1931404,3.118145513
O,4.45359,2.58535,9.34378,-0.601518,30.1931404,3.118145513
O,12.156,2.80971,8.60986,-0.588997,30.1931404,3.118145513
O,1.15603,0.229512,2.82294,-0.610499,30.1931404,3.118145513
O,6.04549,10.1417,2.04715,-0.570998,30.1931404,3.118145513
O,8.22967,0.0329344,2.19943,-0.578843,30.1931404,3.118145513
O,6.03112,0.0905696,2.70546,-0.604178,30.1931404,3.118145513
O,9.3488,2.56682,9.34274,-0.603121,30.1931404,3.118145513
O,7.22473,2.75002,8.6771,-0.598315,30.1931404,3.118145513
O,10.7615,7.73135,3.73872,-0.601104,30.1931404,3.118145513
O,8.65744,7.95571,4.47265,-0.588754,30.1931404,3.118145513
O,7.46377,5.37551,10.2596,-0.611536,30.1931404,3.118145513
O,9.54399,4.99573,11.0354,-0.573446,30.1931404,3.118145513
